trip_id,start_time,end_time,has_shape,color
A20161106SAT_036000_GS.N01R,21600,21690,True,6D6E71
A20161106SAT_036400_GS.S01R,21840,21930,True,6D6E71
A20161106SAT_037000_GS.N01R,22200,22290,True,6D6E71
A20161106SAT_037400_GS.S01R,22440,22530,True,6D6E71
A20161106SAT_038000_GS.N01R,22800,22890,True,6D6E71
A20161106SAT_038400_GS.S01R,23040,23130,True,6D6E71
A20161106SAT_039000_GS.N01R,23400,23490,True,6D6E71
A20161106SAT_039400_GS.S01R,23640,23730,True,6D6E71
A20161106SAT_040000_GS.N01R,24000,24090,True,6D6E71
A20161106SAT_040400_GS.S01R,24240,24330,True,6D6E71
A20161106SAT_041000_GS.N01R,24600,24690,True,6D6E71
A20161106SAT_041400_GS.S01R,24840,24930,True,6D6E71
A20161106SAT_042000_GS.N01R,25200,25290,True,6D6E71
A20161106SAT_042400_GS.S01R,25440,25530,True,6D6E71
A20161106SAT_043000_GS.N01R,25800,25890,True,6D6E71
A20161106SAT_043400_GS.S01R,26040,26130,True,6D6E71
A20161106SAT_044000_GS.N01R,26400,26490,True,6D6E71
A20161106SAT_044400_GS.S01R,26640,26730,True,6D6E71
A20161106SAT_045000_GS.N01R,27000,27090,True,6D6E71
A20161106SAT_045400_GS.S01R,27240,27330,True,6D6E71
A20161106SAT_046000_GS.N01R,27600,27690,True,6D6E71
A20161106SAT_046400_GS.S01R,27840,27930,True,6D6E71
A20161106SAT_047000_GS.N01R,28200,28290,True,6D6E71
A20161106SAT_047400_GS.S01R,28440,28530,True,6D6E71
A20161106SAT_048000_GS.N01R,28800,28890,True,6D6E71
A20161106SAT_048400_GS.S01R,29040,29130,True,6D6E71
A20161106SAT_049000_GS.N01R,29400,29490,True,6D6E71
A20161106SAT_049400_GS.S01R,29640,29730,True,6D6E71
A20161106SAT_050000_GS.N01R,30000,30090,True,6D6E71
A20161106SAT_050400_GS.S01R,30240,30330,True,6D6E71
A20161106SAT_051000_GS.N01R,30600,30690,True,6D6E71
A20161106SAT_051400_GS.S01R,30840,30930,True,6D6E71
